produto,tipo_vigencia
AP INDIVIDUAL,RECORRENTE
PECULIO + AP,RECORRENTE
AP/DIT,RECORRENTE
AP IND SERIT/DIT,RECORRENTE
AUTOMÓVEL,RENOVÁVEL
EMPRESARIAL,RENOVÁVEL
RESIDENCIAL,RENOVÁVEL
CONSORCIO,RECORRENTE
ODONTO,RECORRENTE
EQUIPAMENTOS,RENOVÁVEL
PGBL INDIVIDUAL,RECORRENTE
RENDA POR INVALIDEZ,RECORRENTE
RENDA MENSAL TEMP,RECORRENTE
PENSAO TEMP. AOS DEP,RECORRENTE
INVALIDEZ PERMANENTE,RECORRENTE
PREVIDÊNCIA,RECORRENTE
VGBL INDIVIDUAL,RECORRENTE
RC PROFISSIONAL,RENOVÁVEL
VIAGEM,TRANSACIONAL
VIDA EM GRUPO,RECORRENTE
VIDA INDIVIDUAL,RECORRENTE
SERIT MAIS,RECORRENTE
SERIT/VG,RECORRENTE
INDIVIDUAL SERIT/DIT,RECORRENTE
SERIT/AP,RECORRENTE
DOENÇAS GRAVES,RECORRENTE
PREV + RISCO,RECORRENTE
HORIZONTE,RECORRENTE
RISCO DE PREVIDENCIA,RECORRENTE
